Date,Open,High,Low,Close*,Adj Close**,Change,Return,Date
21-Oct-21,"35,520.32","35,612.36","35,442.53","35,603.08","35,603.08",-6.26,0,21-Oct-21
22-Oct-21,"35,607.72","35,765.02","35,533.95","35,677.02","35,677.02",73.94,0,22-Oct-21
25-Oct-21,"35,692.62","35,787.04","35,629.37","35,741.15","35,741.15",64.13,0,25-Oct-21
26-Oct-21,"35,791.05","35,892.92","35,734.73","35,756.88","35,756.88",15.73,0,26-Oct-21
27-Oct-21,"35,835.43","35,835.43","35,490.43","35,490.69","35,490.69",-266.19,-0.01,27-Oct-21
28-Oct-21,"35,545.41","35,742.25","35,545.41","35,730.48","35,730.48",239.79,0.01,28-Oct-21
29-Oct-21,"35,712.28","35,852.53","35,633.20","35,819.56","35,819.56",89.08,0,29-Oct-21
1-Nov-21,"35,833.65","36,009.74","35,797.97","35,913.84","35,913.84",94.28,0,1-Nov-21
2-Nov-21,"35,935.11","36,088.81","35,884.13","36,052.63","36,052.63",138.79,0,2-Nov-21
3-Nov-21,"36,059.09","36,178.51","35,891.73","36,157.58","36,157.58",104.95,0,3-Nov-21
4-Nov-21,"36,107.46","36,168.03","35,986.48","36,124.23","36,124.23",-33.35,0,4-Nov-21
5-Nov-21,"36,268.75","36,484.75","36,190.20","36,327.95","36,327.95",203.72,0.01,5-Nov-21
8-Nov-21,"36,416.46","36,565.73","36,334.42","36,432.22","36,432.22",104.27,0,8-Nov-21
9-Nov-21,"36,404.53","36,416.98","36,173.07","36,319.98","36,319.98",-112.24,0,9-Nov-21
10-Nov-21,"36,299.25","36,346.61","36,009.50","36,079.94","36,079.94",-240.04,-0.01,10-Nov-21
11-Nov-21,"36,038.78","36,108.17","35,915.27","35,921.23","35,921.23",-158.71,0,11-Nov-21
12-Nov-21,"35,963.78","36,147.63","35,934.59","36,100.31","36,100.31",179.08,0,12-Nov-21
15-Nov-21,"36,128.83","36,236.07","36,031.78","36,087.45","36,087.45",-12.86,0,15-Nov-21
16-Nov-21,"36,076.18","36,316.61","36,076.18","36,142.22","36,142.22",54.77,0,16-Nov-21
17-Nov-21,"36,159.70","36,159.70","35,909.48","35,931.05","35,931.05",-211.17,-0.01,17-Nov-21
18-Nov-21,"35,901.69","35,952.63","35,654.39","35,870.95","35,870.95",-60.1,0,18-Nov-21
19-Nov-21,"35,879.09","35,879.09","35,555.37","35,601.98","35,601.98",-268.97,-0.01,19-Nov-21
22-Nov-21,"35,631.41","35,929.66","35,615.55","35,619.25","35,619.25",17.27,0,22-Nov-21
23-Nov-21,"35,619.92","35,841.52","35,542.87","35,813.80","35,813.80",194.55,0.01,23-Nov-21
24-Nov-21,"35,752.31","35,825.47","35,591.03","35,804.38","35,804.38",-9.42,0,24-Nov-21
26-Nov-21,"35,366.69","35,366.69","34,749.80","34,899.34","34,899.34",-905.04,-0.03,26-Nov-21
29-Nov-21,"35,017.71","35,287.91","34,895.89","35,135.94","35,135.94",236.6,0.01,29-Nov-21
30-Nov-21,"35,056.99","35,056.99","34,424.44","34,483.72","34,483.72",-652.22,-0.02,30-Nov-21
1-Dec-21,"34,678.94","35,004.64","34,006.98","34,022.04","34,022.04",-461.68,-0.01,1-Dec-21
2-Dec-21,"34,076.25","34,759.65","34,076.25","34,639.79","34,639.79",617.75,0.02,2-Dec-21
3-Dec-21,"34,692.78","34,801.31","34,264.57","34,580.08","34,580.08",-59.71,0,3-Dec-21
6-Dec-21,"34,633.43","35,356.75","34,633.43","35,227.03","35,227.03",646.95,0.02,6-Dec-21
7-Dec-21,"35,423.99","35,819.47","35,423.99","35,719.43","35,719.43",492.4,0.01,7-Dec-21
8-Dec-21,"35,716.85","35,840.52","35,602.65","35,754.75","35,754.75",35.32,0,8-Dec-21
9-Dec-21,"35,722.26","35,864.24","35,577.14","35,754.69","35,754.69",-0.06,0,9-Dec-21
10-Dec-21,"35,830.55","35,982.69","35,710.43","35,970.99","35,970.99",216.3,0.01,10-Dec-21
13-Dec-21,"35,958.93","35,958.93","35,609.53","35,650.95","35,650.95",-320.04,-0.01,13-Dec-21
14-Dec-21,"35,605.73","35,779.47","35,441.74","35,544.18","35,544.18",-106.77,0,14-Dec-21
15-Dec-21,"35,549.35","35,943.84","35,389.30","35,927.43","35,927.43",383.25,0.01,15-Dec-21
16-Dec-21,"36,036.28","36,189.83","35,778.21","35,897.64","35,897.64",-29.79,0,16-Dec-21
17-Dec-21,"35,800.11","35,800.11","35,284.26","35,365.44","35,365.44",-532.2,-0.01,17-Dec-21
20-Dec-21,"35,222.12","35,222.12","34,665.50","34,932.16","34,932.16",-433.28,-0.01,20-Dec-21
21-Dec-21,"35,069.50","35,508.96","35,069.50","35,492.70","35,492.70",560.54,0.02,21-Dec-21
22-Dec-21,"35,491.71","35,764.67","35,433.13","35,753.89","35,753.89",261.19,0.01,22-Dec-21
23-Dec-21,"35,782.42","36,060.99","35,782.42","35,950.56","35,950.56",196.67,0.01,23-Dec-21
27-Dec-21,"35,954.48","36,306.61","35,954.48","36,302.38","36,302.38",351.82,0.01,27-Dec-21
28-Dec-21,"36,302.99","36,527.26","36,302.99","36,398.21","36,398.21",95.83,0,28-Dec-21
29-Dec-21,"36,421.14","36,571.55","36,396.19","36,488.63","36,488.63",90.42,0,29-Dec-21
30-Dec-21,"36,522.48","36,679.44","36,372.13","36,398.08","36,398.08",-90.55,0,30-Dec-21
31-Dec-21,"36,385.85","36,484.94","36,303.97","36,338.30","36,338.30",-59.78,0,31-Dec-21
3-Jan-22,"36,321.59","36,595.82","36,246.45","36,585.06","36,585.06",246.76,0.01,3-Jan-22
4-Jan-22,"36,636.00","36,934.84","36,636.00","36,799.65","36,799.65",214.59,0.01,4-Jan-22
5-Jan-22,"36,722.60","36,952.65","36,400.39","36,407.11","36,407.11",-392.54,-0.01,5-Jan-22
6-Jan-22,"36,409.05","36,464.19","36,200.68","36,236.47","36,236.47",-170.64,0,6-Jan-22
7-Jan-22,"36,249.59","36,382.84","36,111.53","36,231.66","36,231.66",-4.81,0,7-Jan-22
10-Jan-22,"36,175.21","36,175.21","35,639.91","36,068.87","36,068.87",-162.79,0,10-Jan-22
11-Jan-22,"36,058.85","36,271.47","35,769.38","36,252.02","36,252.02",183.15,0.01,11-Jan-22
12-Jan-22,"36,336.16","36,453.49","36,168.15","36,290.32","36,290.32",38.3,0,12-Jan-22
13-Jan-22,"36,312.49","36,513.88","36,044.22","36,113.62","36,113.62",-176.7,0,13-Jan-22
14-Jan-22,"35,996.43","35,996.43","35,641.49","35,911.81","35,911.81",-201.81,-0.01,14-Jan-22
18-Jan-22,"35,661.76","35,661.76","35,262.02","35,368.47","35,368.47",-543.34,-0.02,18-Jan-22
19-Jan-22,"35,412.30","35,547.83","35,015.49","35,028.65","35,028.65",-339.82,-0.01,19-Jan-22
20-Jan-22,"35,102.66","35,490.20","34,670.12","34,715.39","34,715.39",-313.26,-0.01,20-Jan-22
21-Jan-22,"34,701.69","34,896.67","34,229.55","34,265.37","34,265.37",-450.02,-0.01,21-Jan-22
24-Jan-22,"34,070.61","34,420.99","33,150.33","34,364.50","34,364.50",99.13,0,24-Jan-22
25-Jan-22,"34,186.64","34,591.04","33,545.52","34,297.73","34,297.73",-66.77,0,25-Jan-22
26-Jan-22,"34,520.82","34,815.67","33,876.48","34,168.09","34,168.09",-129.64,0,26-Jan-22
27-Jan-22,"34,261.75","34,773.32","34,007.78","34,160.78","34,160.78",-7.31,0,27-Jan-22
28-Jan-22,"34,135.24","34,731.77","33,807.51","34,725.47","34,725.47",564.69,0.02,28-Jan-22
31-Jan-22,"34,691.17","35,148.14","34,496.10","35,131.86","35,131.86",406.39,0.01,31-Jan-22
1-Feb-22,"35,151.47","35,441.09","34,977.95","35,405.24","35,405.24",273.38,0.01,1-Feb-22
2-Feb-22,"35,378.19","35,679.20","35,290.12","35,629.33","35,629.33",224.09,0.01,2-Feb-22
3-Feb-22,"35,520.08","35,535.94","35,071.06","35,111.16","35,111.16",-518.17,-0.01,3-Feb-22
4-Feb-22,"35,095.74","35,333.55","34,799.08","35,089.74","35,089.74",-21.42,0,4-Feb-22
7-Feb-22,"35,108.38","35,325.01","34,993.98","35,091.13","35,091.13",1.39,0,7-Feb-22
8-Feb-22,"35,160.68","35,544.89","35,090.42","35,462.78","35,462.78",371.65,0.01,8-Feb-22
9-Feb-22,"35,614.90","35,824.28","35,614.90","35,768.06","35,768.06",305.28,0.01,9-Feb-22
10-Feb-22,"35,630.81","35,800.24","35,100.72","35,241.59","35,241.59",-526.47,-0.01,10-Feb-22
11-Feb-22,"35,267.89","35,431.15","34,620.52","34,738.06","34,738.06",-503.53,-0.01,11-Feb-22
14-Feb-22,"34,694.50","34,744.56","34,304.28","34,566.17","34,566.17",-171.89,0,14-Feb-22
15-Feb-22,"34,686.19","35,047.79","34,686.19","34,988.84","34,988.84",422.67,0.01,15-Feb-22
16-Feb-22,"34,951.83","35,042.09","34,642.64","34,934.27","34,934.27",-54.57,0,16-Feb-22
17-Feb-22,"34,858.47","34,858.47","34,246.23","34,312.03","34,312.03",-622.24,-0.02,17-Feb-22
18-Feb-22,"34,310.45","34,423.58","33,976.18","34,079.18","34,079.18",-232.85,-0.01,18-Feb-22
22-Feb-22,"33,974.09","34,024.74","33,364.29","33,596.61","33,596.61",-482.57,-0.01,22-Feb-22
23-Feb-22,"33,680.97","33,832.59","33,084.90","33,131.76","33,131.76",-464.85,-0.01,23-Feb-22
24-Feb-22,"32,830.33","33,269.34","32,272.64","33,223.83","33,223.83",92.07,0,24-Feb-22
25-Feb-22,"33,277.22","34,095.74","33,277.22","34,058.75","34,058.75",834.92,0.03,25-Feb-22
28-Feb-22,"33,870.62","33,963.63","33,469.31","33,892.60","33,892.60",-166.15,0,28-Feb-22
1-Mar-22,"33,813.48","33,870.14","33,107.67","33,294.95","33,294.95",-597.65,-0.02,1-Mar-22
2-Mar-22,"33,379.51","34,013.67","33,379.51","33,891.35","33,891.35",596.4,0.02,2-Mar-22
3-Mar-22,"33,972.87","34,179.07","33,641.53","33,794.66","33,794.66",-96.69,0,3-Mar-22
4-Mar-22,"33,655.43","33,655.43","33,254.12","33,614.80","33,614.80",-179.86,-0.01,4-Mar-22
7-Mar-22,"33,579.75","33,579.75","32,806.15","32,817.38","32,817.38",-797.42,-0.02,7-Mar-22
8-Mar-22,"32,885.17","33,402.98","32,578.73","32,632.64","32,632.64",-184.74,-0.01,8-Mar-22
9-Mar-22,"32,860.42","33,457.28","32,860.42","33,286.25","33,286.25",653.61,0.02,9-Mar-22
10-Mar-22,"33,106.77","33,236.59","32,819.76","33,174.07","33,174.07",-112.18,0,10-Mar-22
11-Mar-22,"33,279.72","33,515.61","32,911.89","32,944.19","32,944.19",-229.88,-0.01,11-Mar-22
14-Mar-22,"33,000.37","33,395.59","32,818.16","32,945.24","32,945.24",1.05,0,14-Mar-22
15-Mar-22,"32,989.27","33,620.84","32,989.27","33,544.34","33,544.34",599.1,0.02,15-Mar-22
